Wahlkreis-Nr.;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;Die PARTEI;Bergpartei;BGD;DKP;NEIN;WGr/EB;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Partei der Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI
;;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
034;Osterholz - Verden;NI;Urne;193643;120002;1350;118652;51618;45047;1039;6242;7619;0;2166;1167;0;0;0;0;0;0;0;0;0;0;0;0;3754;0;0;0;0;0;0;0;0;0;0;1577;118425;46823;39795;3962;6985;10911;0;9949;2308;1187;1033;81;0;0;0;0;0;151;0;0;26;0;0;4693;0;149;0;0;321;0;0;0
035;Rotenburg I - Heidekreis;NI;Urne;167867;102897;1133;101764;45375;41788;1603;4123;4768;0;1600;1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1080;0;0;0;0;0;0;0;899;101998;44449;32246;3860;4854;8215;0;8374;1480;1132;825;58;0;0;0;0;0;152;0;0;17;0;0;3924;0;122;0;0;664;0;0;0
036;Harburg;NI;Urne;194856;121112;1162;119950;53683;38562;3839;4562;8247;0;1963;924;0;0;0;0;0;0;0;0;0;0;0;0;7103;0;0;1067;0;0;0;0;0;0;0;1030;120082;50988;34458;5337;5567;10935;0;12797;2083;999;1015;56;0;0;0;0;0;114;0;0;24;0;0;7543;0;106;0;0;857;0;0;0
037;Lüchow-Dannenberg - Lüneburg;NI;Urne;179069;105897;1117;104780;41565;35783;1547;6450;11862;0;2367;1062;0;0;0;0;0;0;0;144;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;984;104913;38407;30912;3897;7626;14330;0;9741;2495;984;833;43;0;0;0;0;0;136;0;0;23;0;0;4793;0;109;0;0;325;0;0;0
038;Osnabrück-Land;NI;Urne;197532;120065;1179;118886;63017;38810;1994;4469;6494;0;2156;980;0;0;0;0;0;0;0;349;0;0;0;0;0;0;0;617;0;0;0;0;0;0;0;982;119083;57167;35207;5100;5077;8782;0;7750;1876;854;658;33;0;0;0;0;0;403;0;0;20;0;0;3414;0;103;0;0;389;0;0;0
039;Stadt Osnabrück;NI;Urne;194231;116918;1727;115191;52100;41097;2854;5048;9832;0;2587;798;0;0;0;0;0;0;0;235;0;0;0;0;0;0;0;640;0;0;0;0;0;0;0;1514;115404;49111;36260;4294;6182;12067;0;7490;2365;594;633;48;0;0;0;0;0;197;0;0;28;0;0;3161;0;77;0;0;387;0;0;0
040;Nienburg II - Schaumburg;NI;Urne;195948;115081;1189;113892;47035;51167;1433;4031;6330;0;2275;1621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1005;114076;45277;41758;3763;5171;8883;0;9224;1790;1096;897;98;0;0;0;0;0;168;0;0;27;0;0;4646;0;127;0;0;375;0;0;0
041;Stadt Hannover I;NI;Urne;181122;101579;1573;100006;35267;44767;1280;5374;7344;0;1966;0;0;0;0;0;0;0;0;0;0;0;115;0;3286;0;0;607;0;0;0;0;0;0;0;1662;99917;32631;36520;4198;6715;11785;0;8068;1965;702;764;110;0;0;0;0;0;108;0;0;62;0;0;3833;0;134;0;0;390;0;0;0
042;Stadt Hannover II;NI;Urne;193157;110167;1588;108579;35241;47682;1412;7342;10819;0;2353;690;0;0;0;0;0;0;0;0;0;0;0;0;3040;0;0;0;0;0;0;0;0;0;0;1677;108490;31225;38555;4149;9466;16412;0;8683;2498;652;944;66;0;0;0;0;0;110;0;0;74;0;0;3902;0;125;0;0;312;0;0;0
043;Hannover-Land I;NI;Urne;232941;139630;1359;138271;60027;54188;3233;5308;6673;0;1910;1410;0;0;0;0;0;0;0;0;0;0;0;0;4405;218;0;899;0;0;0;0;0;0;0;1277;138353;55937;46589;6292;6831;11074;0;11630;2141;1310;1051;165;0;0;0;0;0;168;0;0;32;0;0;5841;0;164;0;0;758;0;0;0
