Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIE VIOLETTEN;ödp;PIRATEN;RRP;Freie Union;Übrige;Ungültige;Gültige;SPD;CDU;FDP;DIE LINKE;GRÜNE;CSU;NPD;REP;FAMILIE;Die Tierschutzpartei;PBC;MLPD;BüSo;BP;PSG;Volksabstimmung;ZENTRUM;ADM;CM;DKP;DVU;DIE VIOLETTEN;FWD;ödp;PIRATEN;RRP;RENTNER
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03361;Verden;103623;77757;873;76884;28573;29849;5264;5540;6253;0;1405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732;77025;22163;25584;9482;6611;9319;0;1147;0;0;662;0;11;0;0;0;0;0;0;0;0;93;0;0;82;1315;556;0
NI;03401;Delmenhorst, Stadt;57518;38796;590;38206;12918;12872;3147;4310;3610;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;0;0;507;38289;10988;11464;4630;4803;3791;0;729;0;0;489;0;7;0;0;0;0;0;0;0;0;68;0;0;43;773;504;0
NI;03402;Emden, Stadt;39153;26258;429;25829;12325;5604;1780;2702;3098;0;320;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;25913;10637;5264;2500;3158;3210;0;310;0;0;177;0;12;0;0;0;0;0;0;0;0;20;0;0;25;472;128;0
NI;03403;Oldenburg (Oldenburg), Stadt;123651;90961;1106;89855;29905;27788;7202;9501;14310;0;802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347;0;0;812;90149;24757;22502;11638;10111;16425;0;722;0;0;745;0;42;0;0;0;0;0;0;0;0;63;0;0;122;2614;408;0
NI;03404;Osnabrück, Stadt;118299;86137;979;85158;29109;29904;8947;6407;9754;0;543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;494;872;85265;22789;26072;12072;7757;12931;0;475;0;0;536;0;13;0;0;0;0;0;0;0;0;58;0;0;141;2123;298;0
NI;03405;Wilhelmshaven, Stadt;64799;43864;1032;42832;15951;13648;3567;5200;3750;0;716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;703;43161;12954;12437;5823;5674;3819;0;550;0;0;432;0;46;0;0;0;0;0;0;0;0;34;0;0;33;967;392;0
NI;03451;Ammerland;91940;67386;785;66601;19115;27822;6638;4579;7341;0;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;360;0;0;678;66708;17794;21588;11279;5133;7746;0;623;0;0;604;0;11;0;0;0;0;0;0;0;0;61;0;0;70;1386;413;0
NI;03452;Aurich;150651;106627;2010;104617;45551;28102;7534;10511;11353;0;1566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1776;104851;40045;26891;11119;11820;10431;0;1402;0;0;865;0;20;0;0;0;0;0;0;0;0;103;0;0;98;1543;514;0
NI;03453;Cloppenburg;115385;78446;949;77497;15226;47470;6695;3953;3456;0;697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;812;77634;13206;42049;11653;4370;3905;0;621;0;0;416;0;21;0;0;0;0;0;0;0;0;56;0;0;50;1076;211;0
NI;03454;Emsland;234531;172883;1900;170983;35467;97183;17765;8710;10593;0;1265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1718;171165;33246;86168;25314;9809;10918;0;1155;0;0;923;0;24;0;0;0;0;0;0;0;0;110;0;0;143;2637;718;0
