(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bundestagswahl 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amtliches Endergebnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Gebiet;gehört zu;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;
106;Düsseldorf II;905;188875;190102;188875;190102;151908;142287;151908;142287;1303;1153;756;855;150605;141134;151152;141432;34739;41169;28535;35671;43282;34801;38006;31639;27347;30201;25780;31524;6250;14143;8236;17335;19574;8214;19606;8503;;;;;14024;5418;17800;6931;934;1307;484;859;;;1671;1831;;1549;234;1280;;2967;771;1572;;;314;1674;;;;517;2641;1189;1570;873;;;;90;;;;;;;;147;;;;141;;;;49;;;;;366;176;77;66;;;;;;;232;55;;;;16;;;;;729;;230;;;;7246;;;;123;;719;;237;;;0;;659
107;Neuss I;905;210819;213250;210819;213250;173161;162167;173161;162167;1601;1605;980;1201;171560;160562;172181;160966;46410;51391;32057;43760;62250;57445;56600;48166;14559;18051;18439;21951;7267;12932;9019;20333;29039;10801;29147;11298;;;;;12035;4153;12781;4771;;;706;861;;;2418;2367;;2052;499;1748;;3617;919;1774;;;418;1393;;;;607;;;1023;480;;;;108;;;;;;;;231;;;;125;;;;61;;;;;;;49;29;;;;;;;329;50;;;;25;;;;;;;176;;;;7389;;;;87;;;;125;;;120;;828
108;Mönchengladbach;905;181209;185185;181209;185185;140063;129646;140063;129646;1616;1707;947;1241;138447;127939;139116;128405;36259;37548;26041;34877;50331;45550;42525;36555;13648;17302;13844;18166;4555;10957;6324;15459;25280;9915;25125;9641;;;;;;;13206;4927;1478;1422;657;850;;;2016;2013;;1821;313;1343;3453;3105;860;1562;;;228;907;;;;467;2167;;851;310;;;;111;;;;;;;;166;;;;109;;;;33;;;;;;;32;24;;;;;;;205;49;;;;12;;;;;917;;270;;;;6399;;;;75;;359;;145;;;319;;824
109;Krefeld I – Neuss II;905;196586;200048;196586;200048;164150;155726;164150;155726;1470;1520;906;1132;162680;154206;163244;154594;36512;39253;29572;39407;61543;51500;55630;45635;17840;24383;20007;24014;8910;18781;10107;22069;23769;9150;23886;9342;;;;;10838;4319;11477;4680;3268;1980;1033;981;;;2103;2111;;1759;372;1528;;2918;827;1610;;;330;975;;;;580;;;913;379;;;;117;;;;;;;;155;;;;103;;;;94;;;;;;163;48;44;;;;;;;301;36;;;;16;;;;;;;190;;;;6285;;;;66;;;;97;;;0;;718
110;Viersen;905;223739;227166;223739;227166;185834;175085;185834;175085;1682;1740;1112;1333;184152;173345;184722;173752;38071;47806;33644;46375;73676;62123;64228;52896;19438;24394;21085;25673;7317;15140;10039;22281;29425;10312;29312;10357;;;;;11337;5558;11875;5203;2510;2253;1170;1327;;;2675;2618;;1940;439;1808;;3819;1137;2140;;;287;582;;;;632;2378;;1147;377;;;;183;;;;;;;;197;;;;133;;;;93;;;;;;;26;31;;;;;;;349;54;;;;12;;;;;;;255;;;;6873;;;;55;;;;126;;;0;;780
111;Kleve;905;223650;225463;223650;225463;182375;171093;182375;171093;1351;1628;1060;1326;181024;169465;181315;169767;39191;48142;34003;47837;74631;63701;66214;54793;16447;23477;18986;23587;6098;14821;8100;19542;28974;9788;29096;9632;;;;;10755;4235;11625;4728;2429;3409;1338;1488;;;2421;2386;;1892;443;1628;;;891;1438;;;252;297;;;;605;2499;;1146;396;;;;115;;;;;;;;224;;;;121;;;;60;;;;;;;32;28;;;;;;;328;60;;;;15;;;;;;;213;;;;6094;;;;43;;;;90;;;0;;787
112;Wesel I;905;204087;206270;204087;206270;170433;160625;170433;160625;1398;1460;941;1128;169035;159165;169492;159497;47432;54488;39287;53277;58854;47448;53361;42544;13786;19928;16091;20629;6123;14452;7205;17302;29375;10842;29406;10994;;;;;10275;4598;11150;5103;2154;1376;934;966;;;2534;2468;;1999;316;1444;;3907;1091;2079;;;261;629;;;;515;;;739;209;;;;92;;;;;;;;205;;;;84;;;;92;;;;;;127;63;65;;;;;;;278;52;;;;16;;;;;1036;;346;;;;6304;;;;36;;;;90;;;0;;732
113;Krefeld II – Wesel II;905;173314;175852;173314;175852;140222;131664;140222;131664;1253;1378;831;1048;138969;130286;139391;130616;41999;45852;31212;41476;44412;37033;40194;32316;12133;17398;15368;19539;4841;10954;6629;14899;23421;9077;23203;9189;;;;;8552;4100;11210;4703;1829;1186;729;818;;;1927;1915;;1698;278;1362;;2863;856;1507;;;259;969;;;;506;1782;;805;232;;;;70;;;;;;;;143;;;;113;;;;88;;;;;;125;65;78;;;;;;;221;41;;;;16;;;;;;;155;;;;6128;;;;71;;;;81;;;0;;636
114;Duisburg I;905;159961;163394;159961;163394;127170;118600;127170;118600;1297;1320;862;1006;125873;117280;126308;117594;49116;47314;32468;41308;27748;24299;28994;23166;9830;16777;13470;17912;3081;8203;4228;10593;22224;11101;21867;9802;;;;;10805;5500;13149;5580;1378;1470;582;780;;;2083;2135;;1395;267;1081;;;882;1482;;;455;1603;;;;487;1389;;755;308;;;;79;;;;;;;;156;;;;128;;;;75;;;;;302;489;118;148;;;;;;;260;35;;;;22;;;;;;;153;;;;6412;;;;102;;;;63;;;732;;714
115;Duisburg II;905;152391;155265;152391;155265;111847;98339;111847;98339;1417;1530;1095;1173;110430;96809;110752;97166;36731;38162;28032;35842;21791;19404;21520;18168;7599;10518;7268;10287;2394;6901;2948;7913;29445;13361;27428;11834;;;;;9976;4889;12272;4508;1575;1263;539;674;;;1920;2022;;1007;201;755;;;650;1235;;;504;1980;;;;379;;;396;200;;;;56;;;;;;;;164;;;;81;;;;73;;;;;359;313;122;172;;;;;;;166;38;;;;15;;;;;;;155;;;;6472;;;;98;;;;61;;560;991;;770
116;Oberhausen – Wesel III;905;193877;199156;193877;199156;155814;145232;155814;145232;1507;1478;1005;1216;154307;143754;154809;144016;48434;55790;38967;53034;41519;32277;38607;30770;12638;17171;13759;17945;4456;10132;5245;13573;32461;13601;31565;13099;;;;;12062;4908;12770;5613;;1378;561;847;;;2566;2473;;1434;273;1064;;6464;1082;2199;2096;;564;1113;;;;515;;;734;357;;;;100;;;;;;;;201;;;;87;;;;74;;;;;641;145;99;71;;;;;;;304;45;;;;20;;;;;;;230;;;;7331;;;;73;;;;79;;;454;;816
117;Mülheim – Essen I;905;177448;182895;177448;182895;145633;139658;145633;139658;1277;1503;760;1069;144356;138155;144873;138589;47047;50168;34203;46084;41707;33090;40689;32698;13280;19547;15927;20232;4958;11884;6189;15188;25140;11704;24695;11135;;;;;9854;3663;11360;4494;2370;1105;730;677;;;2090;2126;;1584;249;1224;;2870;882;1613;;;289;1080;;;;450;;;770;338;;;;81;;;;;;;;186;;;;98;;;;87;;;;;;158;81;72;;;;;;;219;34;;;;21;;;;;;;148;;;;6214;;;;58;;;;80;;;2382;;671
118;Essen II;905;152295;156298;152295;156298;114166;105472;114166;105472;1243;1274;846;1063;112923;104198;113320;104409;34227;39410;26237;35363;27842;23735;25277;21039;9316;12647;10174;13971;2683;6976;3360;9531;26058;12015;24911;11521;;;;;10655;4325;12072;4525;1681;1202;529;639;;;1871;1924;;1108;161;840;;2414;817;1421;;;329;1718;;;;349;;;707;300;;;;57;;;;;;;;155;;;;95;;;;64;;;;;461;197;158;142;;;;;;;181;35;;;;16;;;;;;;137;;;;6290;;;;66;;;;43;;;169;;704
119;Essen III;905;186492;190335;186492;190335;157566;152860;157566;152860;1400;1013;673;797;156166;151847;156893;152063;38546;45612;33184;42629;55807;46635;46387;37053;24617;28745;25317;30764;4835;10871;7710;17995;18563;8225;19029;8398;;;;;11667;5030;14179;6117;1751;1685;516;845;;;1841;2005;;1695;219;1521;;2931;989;1718;;;208;852;;;;443;;;1284;504;;;;89;;;;;;;;129;;;;137;;;;78;;;;;380;109;105;64;;;;;;;265;40;;;;15;;;;;;;125;;;;5416;;;;60;;;;59;;;309;;667
120;Recklinghausen I;905;161611;165193;161611;165193;129034;121640;129034;121640;991;1121;723;903;128043;120519;128311;120737;42356;49437;29886;42552;36875;30845;35131;27988;8686;12833;12446;15180;3278;8481;4581;11989;25912;11087;25875;10927;;;;;7544;3605;9622;4239;1096;;559;594;;;1945;1961;;1282;260;966;2074;2722;875;1526;;;275;913;;;;473;;;617;242;;;;60;;;;;;;;164;;;;72;;;;69;;;;;222;128;80;87;;;;;;;208;42;;;;16;;;;;;;170;;;;5656;;;;55;;;;70;;;99;;677
121;Recklinghausen II;905;182424;186413;182424;186413;147462;137841;147462;137841;1306;1467;895;1103;146156;136374;146567;136738;42454;51050;34273;48563;46217;38325;42173;33610;10574;14836;12821;15627;3419;11283;5171;13571;30367;13108;30724;12522;;;;;8501;3881;9721;4084;1891;;790;634;;;2277;2368;;;261;1093;;3509;742;1555;;;315;1094;;;;548;;;645;202;;;;72;;;;;;;;217;;;;79;;;;62;;;;;357;215;100;81;;;;;;;244;44;;;;10;;;;;644;;266;;;;5908;;;;57;;;;79;;1732;167;;702
122;Gelsenkirchen;905;164673;168496;164673;168496;122676;112317;122676;112317;1223;1233;900;1033;121453;111084;121776;111284;38118;44965;29342;41326;28051;21954;27665;22091;7379;11286;7944;11170;4038;9014;3682;9721;31302;15555;30032;14204;;;;;10246;3559;11485;3853;1720;1054;626;723;;;2359;2572;;1118;191;775;;1904;685;1245;;;442;1753;;;;394;;;444;186;;;;51;;;;;;;;176;;;;69;;;;55;;;;;599;356;239;222;;;;;;;167;22;;;;13;;;;;;;142;;;;6174;;;;100;;;;57;;;319;;663
123;Steinfurt I – Borken I;905;201685;202388;201685;202388;168635;156894;168635;156894;1062;1176;883;975;167573;155718;167752;155919;38037;44047;31174;44788;70066;62322;65100;52625;15800;18743;17571;20525;5775;14515;7070;17783;25233;8482;24879;8385;;;;;10029;3699;10636;4469;2633;1473;1122;937;;;1809;1510;;;324;1050;;2437;836;1354;;;206;432;;;;521;;;949;492;;;;84;;;;;;;;137;;;;95;;;;60;;;;;;;25;19;;;;;;;327;53;;;;15;;;;;;;167;;;;5420;;;;74;;;;63;;;0;;585
124;Bottrop – Recklinghausen III;905;195336;199344;195336;199344;157959;148734;157959;148734;1340;1378;982;1111;156619;147356;156977;147623;46276;57560;36280;51637;49625;39834;45953;36814;10249;15144;13164;16434;4185;11352;5422;14647;32869;14075;32770;13899;;;;;8927;3887;10512;4484;1810;;862;661;;;2471;2536;;1373;238;1048;2426;3283;955;1757;;;313;1246;;;;526;;;661;257;;;;200;;;;;;;;200;;;;85;;;;31;;;;;252;108;98;78;;;;;;;246;50;;;;17;;;;;;;196;;;;6710;;;;49;;;;77;;;740;;1016
125;Borken II;905;200973;201103;200973;201103;172498;162159;172498;162159;1175;1260;819;883;171323;160899;171679;161276;33511;40851;29836;42303;82000;70334;72745;59102;16486;20028;18303;21738;5043;13404;7571;19081;22179;7909;22829;7724;;;;;8742;3928;9358;3914;3362;1650;1352;1056;;;1684;1517;;;312;1219;;2795;780;1324;;;195;396;;;;486;;;972;311;;;;116;;;;;;;;163;;;;78;;;;68;;;;;;;36;22;;;;;;;346;45;;;;9;;;;;;;171;;;;5065;;;;44;;;;80;;;0;;604
126;Coesfeld – Steinfurt II;905;194072;194695;194072;194695;169671;161064;169671;161064;1142;1118;748;882;168529;159946;168923;160182;34152;40145;30231;42647;76819;65402;67891;55230;21571;27069;22841;25506;5338;12409;7159;17927;20615;7241;21368;7339;;;;;7708;4242;9221;4093;;1858;766;998;;;1664;1595;;1580;271;1184;;;777;1348;;;177;262;;;;580;2326;;1143;408;;;;101;;;;;;;;179;;;;83;;;;51;;;;;;;18;8;;;;;;;346;42;;;;5;;;;;;;164;;;;4776;;;;27;;;;83;;;0;;596
127;Steinfurt III;905;194178;195513;194178;195513;165562;155635;165562;155635;1094;1292;873;1103;164468;154343;164689;154532;41397;48068;36478;50555;62253;52445;54549;42528;19383;23978;19906;23996;4874;11394;6572;16113;25484;8785;24959;9253;;;;;9868;4611;10612;4723;;986;798;813;;;1783;1504;;1281;328;1241;;2062;860;1446;;;284;460;;;;482;;;997;401;;;;97;;;;;;;;128;;;;94;;;;69;;;;;;;22;29;;;;;;;267;39;;;;15;;;;;;;174;;;;5969;;;;45;;;;86;;1209;733;;546
128;Münster;905;237654;233953;237654;233953;207991;196276;207991;196276;1176;981;768;820;206815;195295;207223;195456;42553;47047;37437;45844;58996;51096;53313;43790;64528;63160;55144;60036;6779;13038;9629;20786;13426;5234;14210;5603;;;;;14083;7078;25927;9746;;966;408;691;;;1361;1326;;1582;207;1409;2642;2283;1051;1684;;;160;774;;;;479;3808;2505;2242;1812;;897;;422;;;;;;;;116;;;;205;;;;42;;;;;;;26;12;;;;;;;303;52;;;;22;;;;;;;128;;;;5525;;;;93;;;;59;;;409;;605
129;Warendorf;905;207690;208754;207690;208754;175926;165808;175926;165808;1399;1443;998;1186;174527;164365;174928;164622;36247;50685;32533;47648;72720;59631;64092;51722;18940;21245;19715;23309;5119;12768;7133;18193;27935;10211;27955;10533;;;;;9798;4074;10946;4525;3768;;1357;1014;;;1793;1729;;1773;360;1518;;2772;823;1553;;;251;635;;;;535;;;990;351;;497;;200;;;;;;;;179;;;;108;;;;113;;;;;;;28;13;;;;;;;307;54;;;;13;;;;;;;198;;;;6315;;;;44;;;;88;;;709;;677
130;Gütersloh I;905;232757;234177;232757;234177;192669;179726;192669;179726;1767;1604;1297;1378;190902;178122;191372;178348;40229;45878;34664;47371;79373;71185;63902;52421;17268;22851;22189;28308;5942;13507;8477;21211;32673;12812;35112;13299;;;;;10489;4284;12239;5173;2489;2083;1124;1441;;;1908;1896;;2067;425;2010;;3149;956;1851;;;323;750;;;;613;1966;;1229;378;;;;147;;;;;;;;219;;;;97;;;;272;;;;;;;30;21;;;;;;;318;50;;;;8;;;;;;;230;;;;8065;;;;54;;;;127;;473;306;;812
131;Bielefeld – Gütersloh II;905;240475;243059;240475;243059;196973;185345;196973;185345;1579;1481;1089;1182;195394;183864;195884;184163;53130;55234;39839;50009;50742;40928;45714;37355;31274;40015;32374;40161;5930;17793;8168;20658;27995;12294;28143;12448;;;;;19802;9905;25810;11462;;;517;697;;;1914;1872;;2655;411;2274;3091;3966;1364;2324;1548;;597;1591;;;;683;1882;921;1296;720;;;;197;;;;;;;;219;;;;156;;;;336;;;;;;153;60;88;;;;;;;327;77;;;;25;;;;;;;210;;;;8918;;;;98;;;;124;;;0;;811
132;Herford – Minden-Lübbecke II;905;223060;226894;223060;226894;181750;170464;181750;170464;1655;1646;1216;1408;180095;168818;180534;169056;52576;61554;38801;53359;54253;45138;50128;39769;12899;18090;17508;22732;5867;14021;7449;19884;38341;15855;38433;16144;;;;;10740;5332;12853;6038;2222;1967;1124;1352;;;2100;2181;;2187;447;2226;2762;3440;1134;2003;;;276;760;;;;565;;;769;304;;;;72;;;;;;;;149;;;;117;;;;501;;;;;;;38;37;;;;;;;299;53;;;;15;;;;;;;248;;;;8711;;;;29;;435;;187;;;1234;;795
133;Minden-Lübbecke I;905;199147;201888;199147;201888;163423;152935;163423;152935;1731;1419;1204;1363;161692;151516;162219;151572;39931;58168;35926;49351;51975;39679;44594;35814;15008;15886;15379;19762;5432;12494;6784;17486;35399;13445;35284;13892;;;;;9061;3940;10761;4857;2975;2098;1312;1378;;;1772;1838;;1974;457;2050;;2648;977;1743;;;229;394;;;;542;1246;;636;226;;;;102;;;;;;;;171;;;;132;;1184;;1050;;;;;;;25;23;;;;;;;302;45;;;;13;;;;;;;226;;;;7259;;;;36;;665;;260;;;0;;703
134;Lippe I;905;221604;224415;221604;224415;182679;172402;182679;172402;1922;1897;1324;1531;180757;170505;181355;170871;42552;52359;37926;53130;56640;44650;49204;39001;21911;26932;19245;23276;5474;16648;7713;20221;39427;16221;39517;16789;;;;;10896;5283;12324;6414;3857;2171;1440;1348;;;2255;2216;;2936;575;2559;;3070;1059;1781;;;312;520;;;;637;;;825;289;;;;154;;;;;;;;190;;;;136;;;;1244;;;;;;;33;25;;;;;;;324;59;;;;14;;;;;;;244;;;;8069;;;;51;;;;239;;;235;;868
135;Höxter – Gütersloh III – Lippe II;905;169491;172435;169491;172435;141885;134346;141885;134346;1448;1416;1106;1258;140437;132930;140779;133088;26226;37210;23881;36253;60581;53294;51320;43265;10482;12685;11757;14717;4391;9462;6076;15488;28854;11244;29045;11533;;;;;7421;3345;7905;3762;2482;1529;1067;1024;;;1669;1553;;1732;399;1636;;2429;702;1367;;;218;335;;;;566;;;520;183;;;;186;;;;;;;;172;;;;91;;;;300;;;;;;;17;10;;;;;;;242;40;;;;6;;;;;;;209;;;;5563;;;;29;;;;160;;;0;;601
136;Paderborn;905;231585;231534;231585;231534;192337;178377;192337;178377;1467;1540;1072;1395;190870;176837;191265;176982;29097;33513;26308;39089;86833;84669;71373;58419;20143;22926;21998;26981;4528;9845;8049;21877;34928;13152;36233;14360;;;;;11949;5532;13550;5858;;1443;667;1137;;;1867;1863;;2298;510;2195;3392;3459;1171;1925;;;284;523;;;;600;;;979;495;;;;134;;;;;;;;191;;;;148;;;;310;;;;;;;27;28;;;;;;;280;62;;;;22;;;;;;;226;;;;7567;;;;41;;;;135;;;0;;765
137;Hagen – Ennepe-Ruhr-Kreis I;905;195958;201594;195958;201594;154267;144751;154267;144751;1395;1651;972;1142;152872;143100;153295;143609;39188;47581;32775;47400;44170;37718;43479;34210;12584;17954;13493;17237;5216;13531;5910;16179;32643;14419;32094;13760;;;;;9095;4552;11904;4857;1784;2122;779;1031;;;2368;2392;;1399;304;1200;;2830;806;1591;1445;;641;1448;;;;573;;;674;235;;;;99;;;;;;;;194;;;;110;;;;169;;;;;232;185;91;76;;;;;;;233;56;;;;9;;;;;;;187;;6515;;7399;;;;53;;;;105;;;809;;783
138;Ennepe-Ruhr-Kreis II;905;170960;175283;170960;175283;142858;136706;142858;136706;1173;1252;817;1006;141685;135454;142041;135700;42576;47993;33730;45664;43775;33357;38804;29855;14587;21734;17813;21941;4265;11530;5787;14432;23488;9731;23813;9654;;;;;8617;3715;10660;5029;1408;1466;672;843;;;2080;2085;;1750;311;1485;2127;2558;949;1623;;;230;660;;1434;;804;;;785;278;;;;143;;;;;;;;186;;;;96;;;;104;;;;;257;186;120;105;;;;;;;250;37;;;;11;;;;;585;;243;;;;5687;;;;41;;;;66;;;0;;665
139;Bochum I;905;200128;202393;200128;202393;163505;154691;163505;154691;1377;2624;874;1103;162128;152067;162631;153588;53007;58235;39364;50162;39925;32962;38257;29811;22181;28288;24221;30795;4680;13657;5941;14583;22797;;22483;10232;;;;;15273;9361;19653;8225;;;477;636;;;2158;2079;;3846;251;1222;2795;4700;1078;1914;;;339;1303;;;;531;;;1172;519;;;;135;;;;;;;;195;;488;;189;;;;90;;;;;420;530;132;100;;;;;;;269;39;;;;12;;;;;1050;;322;;;;6374;;;;71;;;;69;;;0;;816
140;Herne – Bochum II;905;170434;173939;170434;173939;132167;123045;132167;123045;1486;1535;1003;1204;130681;121510;131164;121841;43832;52792;33909;46578;31032;24027;29840;23164;11111;14262;11719;15383;2948;8455;3893;10623;28088;11863;27453;11882;;;;;10878;4667;12576;5029;;1423;484;818;;;2327;2357;;1251;229;927;;2550;792;1467;;;292;1395;;;;582;1267;;708;273;;;;76;;;;;;;;169;;;;109;;;;68;;;;;366;220;148;124;;;;;;;245;49;;;;11;;;;;1159;;300;;;;6110;;;;61;;;;78;;;0;;757
141;Dortmund I;905;203655;206727;203655;206727;165438;155814;165438;155814;1351;1098;943;940;164087;154716;164495;154874;50260;51037;37861;50117;38929;30051;36346;27797;22994;26308;25180;31867;4857;10416;5913;14550;26057;10577;25852;10746;;;;;15048;5908;19460;7566;;935;476;758;;3097;2425;2661;;1226;292;1206;3053;13361;1376;3451;;;346;1445;;;;680;1889;660;1135;557;;;;111;;;;;;;;180;;;;144;;;;57;;;;;401;151;122;84;;;;;;;258;38;;;;36;;;;;;;183;;;;7091;;;;92;;;;87;;599;989;;823
142;Dortmund II;905;195508;199317;195508;199317;154308;143855;154308;143855;1538;1298;978;1065;152770;142557;153330;142790;49553;55695;37511;51080;37891;28897;36025;27650;15742;21028;17291;21714;4047;10270;5406;13629;28240;11816;27597;11290;;;;;13794;5823;15616;6361;;1318;491;839;;3589;2642;2943;;;330;1079;3503;3446;1247;2426;;;368;1516;;;;626;;425;852;354;;;;79;;;;;;;;191;;;;85;;;;65;;;;;;139;80;60;;;;;;;226;37;;;;21;;;;;;;176;;;;7330;;;;78;;;;64;;;111;;745
143;Unna I;905;190464;194493;190464;194493;157467;148083;157467;148083;1408;1322;972;1147;156059;146761;156495;146936;49685;59869;38638;53490;46509;36810;42845;31995;14059;20340;16276;20022;3974;9137;5437;15286;29070;11736;29405;11428;;;;;9491;4731;11269;5154;;1967;716;1088;;;2489;2562;;1451;289;1151;;;923;1740;;;245;823;;;;534;1948;;948;331;;;;72;;;;;;;;193;;;;107;;;;89;;;;;;185;54;64;;;;;;;229;45;;;;11;;;;;1323;;328;;;;6286;;;;45;;;;73;;;535;;751
144;Hamm – Unna II;905;227760;231226;227760;231226;181924;168760;181924;168760;1686;1708;1145;1332;180238;167052;180779;167428;58097;67774;41849;59227;54186;44266;51259;40444;11476;16958;14777;19149;4786;12058;6098;16764;38828;15562;38093;15497;;;;;12865;6285;13545;5694;;2610;740;1242;;;2768;2680;;1539;324;1164;;;944;1574;;;509;1406;;;;640;;;871;372;;;;99;;;;;;;;264;;;;113;;;;110;;;;;;;45;23;;;;;;;299;58;;;;12;;;;;;;214;;;;8266;;;;96;;;;82;;;0;;896
145;Soest;905;229384;231811;229384;231811;190466;179003;190466;179003;1445;1554;996;1174;189021;177449;189470;177829;42544;54614;34834;51061;70487;58791;66361;51697;18133;22154;19038;24089;7449;17826;7681;21005;36727;13992;35823;14206;;;;;11144;5548;11577;5520;2537;2017;1007;1176;;;2269;2260;;2507;523;2038;;;1013;1724;;;270;495;;;;666;;;908;327;;;;118;;;;;;;;246;;;;121;;;;159;;;;;;;35;12;;;;;;;351;73;;;;13;;;;;;;232;;;;7406;;;;45;;;;97;;;0;;823
146;Hochsauerlandkreis;905;196716;200496;196716;200496;165006;156518;165006;156518;1008;1101;822;1024;163998;155417;164184;155494;35080;50056;26875;44640;78259;62810;71614;52017;10024;12478;12025;15473;4120;10806;6237;18712;26087;10068;27453;11532;;;;;7655;2685;8773;3989;2773;2224;1144;1583;;;1958;1943;;1381;336;1346;;2909;908;1983;;;225;380;;;;462;;;785;332;;;;99;;;;;;;;181;;;;80;;;;69;;;;;;;27;14;;;;;;;213;37;;;;8;;;;;;;183;;;;5314;;;;28;;;;86;;;0;;614
147;Siegen-Wittgenstein;905;202346;207672;202346;207672;168074;162162;168074;162162;1282;1336;862;1164;166792;160826;167212;160998;40824;48897;33315;50327;56827;54042;52767;42161;12486;16624;14338;17842;5300;13586;6630;18597;34138;14424;33907;14709;;;;;10735;4900;12099;5726;2344;1868;1297;1340;;;1910;2099;;2215;417;2107;2179;3385;1004;2043;;;244;886;;;;485;1288;836;925;679;;;;358;;;;;;;;182;;;;156;;;;467;;;;;;;27;24;;;;;;;223;51;;;;7;;;;;;;209;;;;7526;;;;43;;671;;331;;;49;;752
148;Olpe – Märkischer Kreis I;905;198932;203350;198932;203350;163294;154830;163294;154830;1362;1446;987;1159;161932;153384;162307;153671;33640;45366;26688;42362;68241;56879;63117;50364;10191;13645;11716;15243;5650;15944;6416;19227;32358;13104;33289;13100;;;;;8231;3935;8901;4150;2102;2269;1001;1251;;;1895;1899;;2021;411;1676;;;708;1213;;;252;691;;;;511;;;591;278;;;;265;;;;;;;;190;;;;87;;;;326;;;;;;;33;26;;;;;;;250;46;;;;12;;;;;;;218;;;;6642;;;;46;;;;133;;1519;221;;754
149;Märkischer Kreis II;905;191152;195816;191152;195816;153042;143689;153042;143689;1242;1229;894;1081;151800;142460;152148;142608;34522;43346;27788;42230;58968;47937;51785;40368;9878;12866;11434;14880;4578;12749;6027;17125;31658;12933;32473;13082;;;;;9917;4668;10287;4804;;2004;650;1228;;4382;2349;2994;;1575;417;1496;;;701;1300;;;327;925;;;;540;;;546;215;;;;85;;;;;;;;245;;;;111;;;;105;;;;;;;37;52;;;;;;;229;46;;;;13;;;;;1318;;387;;;;6553;;;;55;;;;103;;961;0;;764
905;Nordrhein-Westfalen;999;12884209;13040267;12884209;13040267;10587740;9960984;10587740;9960984;97311;92465;61606;72954;10490429;9868519;10526134;9888030;2633792;3068628;2108434;2880226;3566853;2973458;3170627;2566719;1230253;1500696;1300901;1587067;349157;851337;462446;1130154;1720896;705020;1770379;717510;;;;;714177;317869;877123;366947;113892;97782;52891;64990;;11068;133480;136195;;111606;22219;99217;33497;170191;59077;108504;5089;;20021;65137;;6629;;36789;79713;24138;68915;36039;;1394;;8052;;;;;;;;11673;;488;;7685;;1405;;10128;;;;;7435;5894;4045;3476;;;;;1282;;17965;3228;;;;971;;;;;16093;;13669;;6515;;432911;;;;4295;;2849;;6736;;8936;20916;;47323
