© Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stimmabgabe der Urnen- und Briefwahl bei der Bundestagswahl 2025 nach Wahlkreisen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlkreis-Nummer;Wahlkreisname;Land;Wahlbezirksart;Wahlberechtigte;Wählende;Ungültige - Erststimmen;Gültige - Erststimmen;SPD - Erststimmen;CDU - Erststimmen;GRÜNE - Erststimmen;FDP - Erststimmen;AfD - Erststimmen;CSU - Erststimmen;Die Linke - Erststimmen;FREIE WÄHLER - Erststimmen;Tierschutzpartei - Erststimmen;dieBasis - Erststimmen;Die PARTEI - Erststimmen;Team Todenhöfer - Erststimmen;PIRATEN - Erststimmen;Volt - Erststimmen;ÖDP - Erststimmen;SSW - Erststimmen;PdH - Erststimmen;Bündnis C - Erststimmen;BP - Erststimmen;MLPD - Erststimmen;PdF - Erststimmen;SGP - Erststimmen;BüSo - Erststimmen;BÜNDNIS DEUTSCHLAND - Erststimmen;BSW - Erststimmen;MERA25 - Erststimmen;WerteUnion - Erststimmen;Übrige - Erststimmen;Ungültige - Zweitstimmen;Gültige - Zweitstimmen;SPD - Zweitstimmen;CDU - Zweitstimmen;GRÜNE - Zweitstimmen;FDP - Zweitstimmen;AfD - Zweitstimmen;CSU - Zweitstimmen;Die Linke - Zweitstimmen;FREIE WÄHLER - Zweitstimmen;Tierschutzpartei - Zweitstimmen;dieBasis - Zweitstimmen;Die PARTEI - Zweitstimmen;Team Todenhöfer - Zweitstimmen;PIRATEN - Zweitstimmen;Volt - Zweitstimmen;ÖDP - Zweitstimmen;SSW - Zweitstimmen;Verjüngungsforschung - Zweitstimmen;PdH - Zweitstimmen;Bündnis C - Zweitstimmen;BP - Zweitstimmen;MLPD - Zweitstimmen;MENSCHLICHE WELT - Zweitstimmen;PdF - Zweitstimmen;SGP - Zweitstimmen;BüSo - Zweitstimmen;BÜNDNIS DEUTSCHLAND - Zweitstimmen;BSW - Zweitstimmen;MERA25 - Zweitstimmen;WerteUnion - Zweitstimmen
032;Cloppenburg – Vechta;NI;Urne;225099;142014;983;141031;23812;62313;7658;4620;33134;0;7581;1913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890;141124;21113;53701;9169;6351;33064;0;9006;1139;1030;267;447;0;186;568;0;0;0;73;0;0;19;0;0;0;0;172;4819;0;0
033;Diepholz – Nienburg I;NI;Urne;194011;122721;907;121814;32752;42014;9139;3983;23209;0;7716;3001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;122067;27022;36018;11735;5568;23983;0;8793;1350;1243;317;497;0;167;559;0;0;0;65;0;0;25;0;0;0;0;156;4569;0;0
034;Osterholz – Verden;NI;Urne;196082;124817;843;123974;30281;43280;12635;3594;24040;0;8676;0;0;0;0;0;0;1468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;644;124173;27612;33495;14359;5232;24819;0;9504;661;1383;330;531;0;195;758;0;0;0;86;0;0;31;0;0;0;0;179;4998;0;0
035;Rotenburg I – Heidekreis;NI;Urne;168109;106168;911;105257;43036;28058;5305;2536;22753;0;0;2153;0;0;0;0;0;1416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;666;105502;25040;28811;8964;3939;23347;0;7863;971;1196;219;445;0;145;692;0;0;0;58;0;0;15;0;0;0;0;133;3664;0;0
036;Harburg;NI;Urne;202671;128799;904;127895;33103;41137;12742;4382;23934;0;8069;2186;0;0;0;0;0;1737;0;0;0;0;0;0;0;0;0;0;0;0;0;605;585;128214;25364;37539;15731;6330;24236;0;9583;1074;1383;358;509;0;205;964;0;0;0;78;0;0;19;0;0;0;0;152;4689;0;0
037;Lüchow-Dannenberg – Lüneburg;NI;Urne;182679;111419;683;110736;30690;28182;16489;2853;20033;0;8147;2405;0;1055;0;0;0;882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;547;110872;22512;25739;17228;4132;20826;0;11674;1221;1199;407;563;0;181;636;0;0;0;62;0;0;28;0;0;0;0;104;4360;0;0
038;Osnabrück-Land;NI;Urne;199476;124411;874;123537;28827;43734;11358;3653;25740;0;7485;1943;0;0;0;0;0;797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;699;123712;26139;38150;11333;5355;25848;0;8513;1018;984;374;444;0;168;462;0;0;0;74;0;0;26;0;0;0;0;162;4662;0;0
039;Stadt Osnabrück;NI;Urne;192267;107093;807;106286;30169;30507;12725;2709;14973;0;12738;1134;0;0;0;0;0;1058;0;0;0;0;0;0;0;0;0;0;0;0;0;273;550;106543;25712;27126;15153;4388;15089;0;12069;496;815;295;412;0;148;665;0;0;0;56;0;0;36;0;0;0;0;105;3978;0;0
040;Nienburg II – Schaumburg;NI;Urne;191029;119809;875;118934;36753;32733;8162;3349;26970;0;6983;1857;0;0;1209;0;0;660;0;0;0;0;0;0;0;0;0;0;0;0;0;258;721;119088;27836;31118;11078;4649;27504;0;8165;1134;1383;230;563;0;191;476;0;0;0;92;0;0;23;0;0;0;0;144;4502;0;0
041;Stadt Hannover I;NI;Urne;175419;102552;857;101695;34939;22058;14231;2926;15720;0;9209;729;0;0;0;0;511;1134;0;0;0;0;0;238;0;0;0;0;0;0;0;0;693;101859;23873;20488;16674;4463;15443;0;12720;327;948;182;439;0;229;733;0;0;0;74;0;0;65;0;0;0;0;116;5085;0;0
042;Stadt Hannover II;NI;Urne;189782;110858;798;110060;39311;18894;19443;2615;13617;0;13297;586;0;0;934;0;332;849;0;0;0;0;0;182;0;0;0;0;0;0;0;0;655;110203;24243;19796;21504;4234;13692;0;18692;340;951;159;569;0;249;801;0;0;0;90;0;0;65;0;0;0;0;121;4697;0;0
043;Hannover-Land I;NI;Urne;227327;143565;1017;142548;38228;47415;12358;3912;28225;0;8592;1815;0;0;0;0;0;1201;0;0;0;0;0;0;0;0;0;802;0;0;0;0;848;142717;31171;40289;15036;6606;28243;0;10784;908;1660;318;534;0;234;630;0;0;0;83;0;0;40;0;0;0;0;269;5912;0;0
