# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;SPD;CDU;GRÜNE;FDP;AfD;CSU;Die Linke;Sonstige;dar. FREIE WÄHLER;dar. BSW
Bund;2;Summe;Summe;1956-1965;9778759;56145;1880745;2418517;1064167;361818;2046329;648987;494934;807118;147610;480666
Bund;2;Summe;Summe;<=1955;11052565;111494;2725307;3646533;763557;491079;1274145;868673;498131;673646;120516;434947
Bund;2;Summe;m|d|o;Summe;24338753;120085;3606998;5523667;2585524;1169566;6091800;1459520;1766093;2015498;339527;1042821
Bund;2;Summe;m|d|o;2001-2007;1694516;7418;188599;201243;186249;125077;425572;60129;298402;201828;23715;89303
Bund;2;Summe;m|d|o;1991-2000;3114025;9915;315740;405381;458329;197680;787341;125397;435316;378927;55866;152428
Bund;2;Summe;m|d|o;1981-1990;3772675;13145;370318;672265;500885;169755;1197479;192357;287621;368850;61182;166531
Bund;2;Summe;m|d|o;1966-1980;6006662;20916;731292;1401463;658826;249756;1823296;366211;293219;461682;89231;240779
Bund;2;Summe;m|d|o;1956-1965;4806281;25100;849447;1221841;466239;186141;1179600;323198;228943;325773;63065;199017
Bund;2;Summe;m|d|o;<=1955;4944593;43592;1151602;1621474;314996;241157;678514;392229;222592;278438;46469;194762
Bund;2;Summe;w;Summe;25589900;159056;4542126;5672707;3176856;979191;4236980;1504508;2590439;2728039;429752;1430126
Bund;2;Summe;w;2001-2007;1669170;5525;188817;132879;205217;62731;211983;41104;618595;202318;20061;99885
Bund;2;Summe;w;1991-2000;3078837;8269;369035;349238;528197;122094;489804;117478;646476;448245;59625;197031
Bund;2;Summe;w;1981-1990;3720645;15606;465401;643444;586095;134849;814801;185859;365882;508708;73545;249116
Bund;2;Summe;w;1966-1980;6040799;30708;913869;1325412;810856;233919;1258031;357834;417955;692216;117928;362260
Bund;2;Summe;w;1956-1965;4972478;31045;1031298;1196675;597928;175677;866730;325789;265991;481345;84545;281649
Bund;2;Summe;w;<=1955;6107972;67903;1573705;2025059;448562;249922;595631;476444;275539;395207;74048;240186
Bund;2;Urne;Summe;Summe;31430857;218085;4936354;6753331;3210734;1350738;7903397;1263958;2930850;2863410;360893;1633395
Bund;2;Urne;Summe;2001-2007;2234402;10053;239986;207763;204089;121807;495880;40773;646939;267112;20546;139049
Bund;2;Urne;Summe;1991-2000;3712086;13495;395687;429183;478663;185660;946527;88680;680946;493246;54077;235414
Bund;2;Urne;Summe;1981-1990;4924740;22142;533712;825507;616295;198295;1574237;162706;440044;551803;69426;289784
Bund;2;Urne;Summe;1966-1980;7998285;40226;1066404;1732536;900556;324612;2383941;324771;512379;712859;101219;407674
Bund;2;Urne;Summe;1956-1965;6177681;43410;1155889;1472327;600517;230477;1579659;284316;337582;473505;67917;306353
Bund;2;Urne;Summe;<=1955;6383662;88759;1544678;2086015;410614;289887;923153;362712;312958;364886;47708;255121
Bund;2;Urne;m|d|o;Summe;15913476;93958;2276118;3447047;1488421;751083;4700840;656937;1235312;1263759;166308;715584
Bund;2;Urne;m|d|o;2001-2007;1184572;5829;128699;131813;107112;85512;334171;26384;224845;140207;12230;69275
Bund;2;Urne;m|d|o;1991-2000;1971708;7373;195575;240210;239051;118969;589851;50128;290761;239791;28330;108839
Bund;2;Urne;m|d|o;1981-1990;2535000;10259;239282;427966;287712;110865;938580;86072;197263;237001;32606;120255
Bund;2;Urne;m|d|o;1966-1980;4116951;16510;493200;919198;410566;169437;1425255;172378;217427;292978;45714;167875
Bund;2;Urne;m|d|o;1956-1965;3129864;19575;541431;763289;270869;120116;912243;146850;160438;195053;29008;129789
Bund;2;Urne;m|d|o;<=1955;2975381;34412;677931;964572;173112;146183;500740;175123;144578;158728;18421;119550
Bund;2;Urne;w;Summe;15517381;124127;2660236;3306284;1722313;599655;3202557;607021;1695538;1599651;194585;917811
Bund;2;Urne;w;2001-2007;1049830;4225;111286;75950;96977;36295;161709;14389;422094;126905;8316;69774
Bund;2;Urne;w;1991-2000;1740378;6122;200112;188973;239612;66691;356676;38552;390185;253455;25746;126574
Bund;2;Urne;w;1981-1990;2389741;11883;294429;397541;328583;87430;635658;76634;242781;314801;36821;169530
Bund;2;Urne;w;1966-1980;3881334;23716;573204;813339;489990;155175;958686;152393;294953;419880;55505;239799
Bund;2;Urne;w;1956-1965;3047817;23835;614458;709038;329648;110361;667416;137465;177145;278452;38909;176564
Bund;2;Urne;w;<=1955;3408282;54347;866747;1121443;237501;143704;422413;187589;168380;206159;29288;135571
Bund;2;Brief;Summe;Summe;18497796;61056;3212770;4443043;2551646;798019;2425383;1700070;1425682;1880127;408386;839552
Bund;2;Brief;Summe;2001-2007;1129284;2890;137431;126359;187377;66001;141675;60460;270057;137035;23230;50139
Bund;2;Brief;Summe;1991-2000;2480776;4690;289089;325437;507863;134114;330618;154194;400846;333926;61414;114045
Bund;2;Brief;Summe;1981-1990;2568580;6608;302008;490202;470686;106309;438042;215510;213459;325755;65301;125863
Bund;2;Brief;Summe;1966-1980;4049176;11398;578757;994338;569126;159063;697386;399274;198795;441039;105940;195365
Bund;2;Brief;Summe;1956-1965;3601078;12735;724856;946190;463650;131341;466671;364671;157351;333612;79693;174313
Bund;2;Brief;Summe;<=1955;4668903;22735;1180629;1560517;352944;201192;350992;505960;185173;308760;72808;179827
Bund;2;Brief;m|d|o;Summe;8425277;26128;1330879;2076620;1097103;418483;1390961;802583;530781;751739;173219;327238
Bund;2;Brief;m|d|o;2001-2007;509944;1590;59900;69430;79137;39565;91401;33745;73556;61621;11486;20028
Bund;2;Brief;m|d|o;1991-2000;1142317;2542;120165;165172;219278;78711;197490;75268;144555;139136;27535;43589
Bund;2;Brief;m|d|o;1981-1990;1237676;2886;131036;244299;213174;58890;258899;106285;90358;131849;28577;46277
Bund;2;Brief;m|d|o;1966-1980;1889711;4406;238091;482265;248260;80319;398041;193833;75793;168704;43517;72904
Bund;2;Brief;m|d|o;1956-1965;1676417;5525;308016;458552;195370;66025;267356;176347;68505;130719;34057;69228
Bund;2;Brief;m|d|o;<=1955;1969213;9179;473671;656902;141883;94974;177774;217105;78014;119711;28048;75212
Bund;2;Brief;w;Summe;10072519;34928;1881891;2366423;1454543;379536;1034422;897487;894901;1128388;235167;512314
Bund;2;Brief;w;2001-2007;619340;1300;77531;56929;108239;26436;50274;26715;196501;75414;11745;30111
Bund;2;Brief;w;1991-2000;1338459;2147;168924;160265;288585;55403;133128;78926;256291;194790;33879;70457
Bund;2;Brief;w;1981-1990;1330904;3723;170972;245902;257512;47419;179143;109226;123101;193906;36725;79586
Bund;2;Brief;w;1966-1980;2159465;6992;340666;512073;320866;78744;299345;205441;123002;272335;62423;122461
Bund;2;Brief;w;1956-1965;1924661;7210;416840;487638;268280;65316;199314;188324;88846;202893;45636;105085
Bund;2;Brief;w;<=1955;2699690;13556;706958;903615;211060;106218;173218;288855;107159;189049;44760;104615
