# (c) Die Bundeswahlleiterin, Statistisches Bundesamt (Destatis), 2025;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 21. Deutschen Bundestag (23. Februar 2025);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2025'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich geringfügige Differenzen ergeben.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: SPD;Erststimme: CDU;Erststimme: GRÜNE;Erststimme: FDP;Erststimme: AfD;Erststimme: CSU;Erststimme: Die Linke;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. BSW
Bund;m|d|o;<=1955;Die Linke;220077;1191;41866;9884;15652;1106;2876;930;141994;4578;1450;1411
Bund;m|d|o;<=1955;Sonstige;274139;13757;36664;26561;5232;7028;34374;11565;50686;88272;38884;29144
Bund;m|d|o;<=1955;dar. FREIE WÄHLER;45711;285;3228;2233;306;766;1528;8587;467;28311;27685;65
Bund;m|d|o;<=1955;dar. BSW;191387;11414;28032;19511;2939;4998;31191;2278;47171;43853;8286;28984
Bund;w;Summe;Summe;25555134;230730;5502205;6387803;3073656;793657;4252607;1655993;2285424;1373060;688737;172927
Bund;w;Summe;ungültig;158724;108179;13864;15109;1852;1569;9961;2377;2977;2836;1576;35
Bund;w;Summe;SPD;4537366;13981;3714676;276061;263351;25945;16736;46632;117356;62629;27450;3600
Bund;w;Summe;CDU;5659572;15912;251406;5067201;75517;79635;72685;;38572;58645;36658;4629
Bund;w;Summe;GRÜNE;3179064;4377;551603;157602;2243605;12402;2471;28696;125422;52886;11080;372
Bund;w;Summe;FDP;977028;2342;53930;278671;16411;498853;32266;53552;12958;28045;17933;1456
Bund;w;Summe;AfD;4232905;15789;46447;179834;3239;36943;3787251;47294;25616;90492;52127;10263
Bund;w;Summe;CSU;1502065;2479;32837;;14196;15239;11950;1370446;3469;51448;42779;343
Bund;w;Summe;Die Linke;2588741;5599;497196;81101;343037;16121;20006;11458;1556073;58151;16496;7687
Bund;w;Summe;Sonstige;2719670;62073;340245;332225;112448;106951;299280;95539;402980;967929;482638;144542
Bund;w;Summe;dar. FREIE WÄHLER;429487;1728;23909;31851;4788;11254;15625;50332;9026;280972;268779;1055
Bund;w;Summe;dar. BSW;1423116;41803;204115;206730;28406;63170;217767;27192;284368;349566;123684;138053
Bund;w;2001-2007;Summe;1685912;9404;365673;185176;256292;55164;211971;53787;451824;96620;36458;10514
Bund;w;2001-2007;ungültig;5847;4456;233;91;39;14;466;188;269;91;48;
Bund;w;2001-2007;SPD;191620;195;133920;13032;18485;2711;788;3142;14023;5323;1538;84
Bund;w;2001-2007;CDU;133980;256;8843;110413;3222;3806;2843;;2424;2173;1086;150
Bund;w;2001-2007;GRÜNE;209879;208;39354;6829;135677;1466;328;1544;18362;6111;644;4
Bund;w;2001-2007;FDP;63297;103;5654;14662;2165;30750;1675;2989;2768;2531;1481;66
Bund;w;2001-2007;AfD;211223;574;2925;9196;326;1879;185551;2241;2501;6029;3139;916
Bund;w;2001-2007;CSU;40541;;1483;;710;727;693;34644;353;1929;1481;
Bund;w;2001-2007;Die Linke;622738;508;144728;9309;84633;3885;1479;2568;363355;12273;2645;995
Bund;w;2001-2007;Sonstige;206787;3103;28532;21644;11035;9925;18148;6469;47770;60161;24397;8300
Bund;w;2001-2007;dar. FREIE WÄHLER;19813;125;1280;928;278;857;868;2505;1331;11641;10843;34
Bund;w;2001-2007;dar. BSW;102438;1746;16501;13228;2489;5234;11479;2640;27646;21476;7096;7827
Bund;w;1991-2000;Summe;3086045;17564;570176;447805;576567;112707;492245;138537;511520;218924;94227;16649
Bund;w;1991-2000;ungültig;8599;6887;359;337;;6;470;185;141;215;122;
Bund;w;1991-2000;SPD;368029;608;270928;25063;34570;3973;2182;5329;16595;8782;2633;279
Bund;w;1991-2000;CDU;349641;721;21218;295714;6038;8091;8060;;3546;6254;3747;200
Bund;w;1991-2000;GRÜNE;528317;293;80175;16833;380597;2164;328;3140;32237;12551;1503;192
Bund;w;1991-2000;FDP;121744;85;7672;28152;3568;66888;3628;5458;2177;4117;2541;156
Bund;w;1991-2000;AfD;492754;1590;6067;23302;506;5387;433620;7478;3582;11222;6654;544
Bund;w;1991-2000;CSU;116148;97;2413;;1827;1856;1815;101499;530;6111;4703;96
Bund;w;1991-2000;Die Linke;651324;805;122857;10465;120675;3480;2764;2142;374680;13455;2187;856
Bund;w;1991-2000;Sonstige;449488;6477;58487;47939;28787;20863;39379;13307;78031;156219;70138;14325
