# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
BW;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;13980;5994;7987
BW;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;3800;1499;2302
BW;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;3713;1106;2608
BW;Beide;Beide Seiten mehrere Kreuze;5534;2627;2906
BW;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;230;107;123
BW;Beide;Beide Seiten sonstige Ursachen;5110;2847;2264
BW;1;Summe;22206;10751;11455
BW;1;Erststimmenseite leer oder durchgestrichen;19533;9820;9713
BW;1;Erststimmenseite mehrere Kreuze;2136;663;1473
BW;1;Sonstige Ursachen;537;269;269
BW;2;Summe;15289;5903;9386
BW;2;Zweitstimmenseite leer oder durchgestrichen;11942;4568;7375
BW;2;Zweitstimmenseite mehrere Kreuze;3126;1184;1942
BW;2;Sonstige Ursachen;221;152;70
BY;Summe;Ungültige Erststimmen;55864;26944;28920
BY;Summe;Ungültige Zweitstimmen;37667;16867;20800
BY;Beide;Summe;23117;10773;12344
BY;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;9416;4184;5232
BY;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1230;505;725
BY;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1350;562;788
BY;Beide;Beide Seiten mehrere Kreuze;3839;2094;1745
BY;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;176;115;62
BY;Beide;Beide Seiten sonstige Ursachen;7105;3313;3792
BY;1;Summe;32747;16171;16576
BY;1;Erststimmenseite leer oder durchgestrichen;30955;15437;15518
BY;1;Erststimmenseite mehrere Kreuze;956;432;524
BY;1;Sonstige Ursachen;837;302;535
BY;2;Summe;14550;6095;8456
BY;2;Zweitstimmenseite leer oder durchgestrichen;12245;4940;7305
BY;2;Zweitstimmenseite mehrere Kreuze;1797;819;978
BY;2;Sonstige Ursachen;508;335;173
SL;Summe;Ungültige Erststimmen;10850;5368;5482
SL;Summe;Ungültige Zweitstimmen;10295;4996;5299
