# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;;
# Stimmabgabe nach Urnen- und Briefwahlbezirken, Geschlecht und Geburtsjahresgruppen im Bundesgebiet;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;;
# Für die Ergebnisse der Urnen- und Briefwahlbezirke wurde eine separate Hochrechnung durchgeführt. Die Summen der einzelnen Merkmalsgruppen aus beiden Bezirksarten weichen daher geringfügig von den anderen Ergebnissen der repräsentativen Wahlstatistik ab.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Land;Erst-/Zweitstimme;Bezirksart;Geschlecht;Geburtsjahresgruppe;Summe;Ungültig;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;Sonstige;dar. FREIE WÄHLER;dar. dieBasis
Bund;2;Summe;Summe;1951 und früher;9789547;151280;2966574;3297010;580674;743345;368041;628254;741154;313215;122929;47551
Bund;2;Summe;m;Summe;22744128;173603;4119661;5524186;2934311;2891484;1138075;3043058;1143921;1775829;515155;246316
Bund;2;Summe;m;1997 - 2003;1776863;8301;146961;259093;136389;461427;118589;349476;46231;250396;42902;17691
Bund;2;Summe;m;1987 - 1996;3027502;16403;301441;487714;357692;534958;210356;604971;98022;415945;90510;38925
Bund;2;Summe;m;1977 - 1986;3202675;17791;446850;562621;553939;436058;161271;541116;131569;351461;96087;53282
Bund;2;Summe;m;1962 - 1976;6238417;37826;1139980;1490277;1002934;735711;255292;818896;305123;452377;156040;86270
Bund;2;Summe;m;1952 - 1961;4144074;35127;813774;1266654;543019;379882;207803;456809;244697;196310;83187;35280
Bund;2;Summe;m;1951 und früher;4354597;58154;1270654;1457827;340339;343447;184765;271790;318279;109341;46428;14867
Bund;2;Summe;w;Summe;24110380;238882;4655810;6431248;1869591;2428468;1132831;3809148;1258906;2285496;612629;383837
Bund;2;Summe;w;1997 - 2003;1760154;10660;143740;290748;86985;259666;155441;493967;43216;275732;43069;21407
Bund;2;Summe;w;1987 - 1996;3019214;18418;314066;554902;240696;360311;193368;779551;100047;457853;97273;54293
Bund;2;Summe;w;1977 - 1986;3250308;23560;483069;672878;348958;362034;147891;650567;137431;423919;111252;80272
Bund;2;Summe;w;1962 - 1976;6346470;48620;1120354;1691532;600779;674737;257760;1005209;307874;639605;188752;134925
Bund;2;Summe;w;1952 - 1961;4299285;44497;898661;1382005;351838;371823;195094;523390;247464;284514;95782;60256
