# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2022;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Wahl zum 20. Deutschen Bundestag (26. September 2021);;;;;;;;;;;;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;;;;;;;;;;;
# Stimmabgabe in der Kombination der Erst- und Zweitstimmen nach Geschlecht und Geburtsjahresgruppen in den Ländern;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
# Die Ergebnisse der Männer beinhalten auch die Ergebnisse der Personen mit dem Geschlechtsmerkmal 'divers' als auch derjenigen ohne Geschlechtseintrag im Geburtenregister.;;;;;;;;;;;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2021'.;;;;;;;;;;;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;;;;;;;;;;;
# Aus methodischen Gründen weichen in einigen Ländern die Summen der Parteien geringfügig vom amtlichen Endergebnis ab.;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;
Land;Geschlecht;Geburtsjahresgruppe;Partei Zweitstimme;Erststimme: Summe;Erststimme: Ungültig;Erststimme: CDU;Erststimme: SPD;Erststimme: AfD;Erststimme: FDP;Erststimme: DIE LINKE;Erststimme: GRÜNE;Erststimme: CSU;Erststimme: Sonstige;Erststimme: dar. FREIE WÄHLER;Erststimme: dar. dieBasis
Bund;w;Summe;CSU;1255647;4950;;36698;7853;27272;1571;17678;1121475;38151;27280;986
Bund;w;Summe;Sonstige;2282664;28477;135144;243793;123025;146183;113619;156005;80733;1255686;470958;347482
Bund;w;Summe;dar. FREIE WÄHLER;610994;3012;29971;40682;21266;34569;8656;10622;55296;406922;368300;13315
Bund;w;Summe;dar. dieBasis;383701;1971;7859;10479;27340;12607;8407;6357;1838;306843;11401;281899
Bund;w;1997 - 2003;Summe;1753095;13715;208053;343926;85699;224144;161783;474443;62118;179212;54108;26206
Bund;w;1997 - 2003;Ungültig;11192;8597;339;558;176;527;144;137;33;681;92;229
Bund;w;1997 - 2003;CDU;142738;364;110895;10995;1624;10228;715;5226;;2691;1017;338
Bund;w;1997 - 2003;SPD;287640;522;24848;185484;1946;15098;9670;34561;5025;10486;3508;689
Bund;w;1997 - 2003;AfD;87458;300;3639;4155;66196;5568;589;151;1124;5736;2344;2035
Bund;w;1997 - 2003;FDP;258648;195;38089;26999;5013;148371;3750;13933;8493;13806;6445;1758
Bund;w;1997 - 2003;DIE LINKE;154956;554;1707;16915;581;3872;88702;33738;453;8434;644;672
Bund;w;1997 - 2003;GRÜNE;492694;500;13568;61782;210;9893;35102;349265;4146;18228;2035;611
Bund;w;1997 - 2003;CSU;43631;86;;1540;470;2520;34;1026;35868;2087;1627;65
Bund;w;1997 - 2003;Sonstige;274139;2596;14969;35499;9485;28067;23078;36407;6976;117063;36396;19808
Bund;w;1997 - 2003;dar. FREIE WÄHLER;43622;238;2250;3526;1091;3389;1176;1475;4232;26244;23644;472
Bund;w;1997 - 2003;dar. dieBasis;21626;50;425;572;1369;1276;934;705;81;16215;1168;13600
Bund;w;1987 - 1996;Summe;2989744;22407;413971;618671;240330;302229;208514;732208;122583;328829;117417;63722
Bund;w;1987 - 1996;Ungültig;18634;14121;828;854;677;483;288;212;41;1130;54;289
