# (c) Der Bundeswahlleiter, Statistisches Bundesamt (Destatis), 2018;;;;;
# ;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;
# Ergebnisse der repräsentativen Wahlstatistik;;;;;
# Art der ungültigen Stimmen nach Geschlecht in den Ländern;;;;;
# ;;;;;
# Erläuterungen zur Methodik siehe Dokument 'Allgemeine und methodische Hinweise zur repräsentativen Wahlstatistik der Bundestagswahl 2017'.;;;;;
# Durch Auf- bzw. Abrundungen können sich in der Endsumme geringfügige Abweichungen ergeben.;;;;;
# ;;;;;
Land;Ungültige Erst-/Zweitstimme;Ungültigkeitsgrund;Summe;m;w
MV;1;Summe;3518;1199;2319
MV;1;Erststimmenseite leer oder durchgestrichen;2986;1105;1881
MV;1;Erststimmenseite mehrere Kreuze;477;94;382
MV;1;Sonstige Ursachen;55;0;55
MV;2;Summe;2853;1075;1778
MV;2;Zweitstimmenseite leer oder durchgestrichen;2152;776;1376
MV;2;Zweitstimmenseite mehrere Kreuze;665;282;383
MV;2;Sonstige Ursachen;35;17;19
SN;Summe;Ungültige Erststimmen;39951;18267;21684
SN;Summe;Ungültige Zweitstimmen;30280;13480;16800
SN;Beide;Summe;22997;10741;12257
SN;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;9636;4614;5022
SN;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;2745;1428;1317
SN;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;2783;1083;1700
SN;Beide;Beide Seiten mehrere Kreuze;5113;2166;2947
SN;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;553;368;185
SN;Beide;Beide Seiten sonstige Ursachen;2167;1081;1086
SN;1;Summe;16954;7526;9427
SN;1;Erststimmenseite leer oder durchgestrichen;15443;6798;8645
SN;1;Erststimmenseite mehrere Kreuze;973;462;512
SN;1;Sonstige Ursachen;537;267;271
SN;2;Summe;7283;2739;4544
SN;2;Zweitstimmenseite leer oder durchgestrichen;5529;2138;3391
SN;2;Zweitstimmenseite mehrere Kreuze;1592;494;1098
SN;2;Sonstige Ursachen;162;107;55
ST;Summe;Ungültige Erststimmen;22949;10483;12466
ST;Summe;Ungültige Zweitstimmen;18494;8151;10343
ST;Beide;Summe;14253;6289;7964
ST;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;7088;2968;4119
ST;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1370;519;851
ST;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;1373;432;941
ST;Beide;Beide Seiten mehrere Kreuze;3674;1799;1874
ST;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;388;298;90
ST;Beide;Beide Seiten sonstige Ursachen;361;272;89
ST;1;Summe;8696;4194;4502
ST;1;Erststimmenseite leer oder durchgestrichen;7776;3764;4011
ST;1;Erststimmenseite mehrere Kreuze;627;284;344
ST;1;Sonstige Ursachen;293;146;147
ST;2;Summe;4241;1862;2379
ST;2;Zweitstimmenseite leer oder durchgestrichen;3323;1554;1769
ST;2;Zweitstimmenseite mehrere Kreuze;836;259;577
ST;2;Sonstige Ursachen;81;49;33
TH;Summe;Ungültige Erststimmen;19385;7994;11391
TH;Summe;Ungültige Zweitstimmen;17604;6733;10871
TH;Beide;Summe;13845;5478;8366
TH;Beide;Erst- und Zweitstimmenseite leer oder durchgestrichen;7103;3131;3972
TH;Beide;Erststimmenseite leer oder durchgestrichen, Zweitstimmenseite mehrere Kreuze;1413;388;1025
TH;Beide;Erststimmenseite mehrere Kreuze, Zweitstimmenseite leer oder durchgestrichen;2033;565;1468
TH;Beide;Beide Seiten mehrere Kreuze;2922;1255;1667
TH;Beide;Eine Seite leer oder durchgestrichen, andere Seite sonstige Ursachen;94;23;72
TH;Beide;Beide Seiten sonstige Ursachen;279;115;163
TH;1;Summe;5540;2516;3025
TH;1;Erststimmenseite leer oder durchgestrichen;4882;2185;2696
TH;1;Erststimmenseite mehrere Kreuze;659;330;328
TH;1;Sonstige Ursachen;0;0;0
TH;2;Summe;3759;1255;2505
TH;2;Zweitstimmenseite leer oder durchgestrichen;2975;972;2003
TH;2;Zweitstimmenseite mehrere Kreuze;741;259;482
TH;2;Sonstige Ursachen;43;23;20
