# (c) Der Bundeswahlleiter, Wiesbaden 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Wahl zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Endgültige Ergebnisse der Erst- und Zweitstimmen nach Bezirksart und Ländern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr;Land;Stimmenart;Bezirksart;Wahlberechtigte;Wähler;ungültig;gültig;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige
6;Hessen;E;Brief;;906909;10204;896705;350028;244700;50502;78294;;70528;79902;1415;742;14153;;;3775;;;;416;;31;;;;;;;65;;;;;;;;;;;206;;;;;;1948
6;Hessen;Z;Zusammen;4408986;3395441;46541;3348900;1033200;788427;271158;323736;;386742;398712;14448;11904;28507;34079;6042;30500;;;;1627;721;;;;;;6320;;1138;6393;;;;;;;5246;;;;;;;;;
6;Hessen;Z;Urne;4408986;2488532;38602;2449930;726250;589125;208670;234445;;269616;313018;11295;9757;20343;24650;4337;22945;;;;1359;552;;;;;;4093;;817;5180;;;;;;;3478;;;;;;;;;
6;Hessen;Z;Brief;;906909;7939;898970;306950;199302;62488;89291;;117126;85694;3153;2147;8164;9429;1705;7555;;;;268;169;;;;;;2227;;321;1213;;;;;;;1768;;;;;;;;;
16;Thüringen;E;Zusammen;1767014;1312052;19385;1292667;408513;188802;227194;46919;;71579;291466;2844;3193;33707;;5292;3691;;;;1293;;;;;;;;;;;;;;;;;1201;;;;;;;;;6973
16;Thüringen;E;Urne;1767014;1049827;16872;1032955;321099;149992;177119;33935;;56729;248131;2247;2855;26997;;3826;2749;;;;980;;;;;;;;;;;;;;;;;893;;;;;;;;;5403
16;Thüringen;E;Brief;;262225;2513;259712;87414;38810;50075;12984;;14850;43335;597;338;6710;;1466;942;;;;313;;;;;;;;;;;;;;;;;308;;;;;;;;;1570
16;Thüringen;Z;Zusammen;1767014;1312052;17604;1294448;372258;171032;218212;53340;;101129;294069;6057;16083;21131;;6398;19132;;;;1902;;;;;;;5307;;;4948;;;;;;;3450;;;;;;;;;
16;Thüringen;Z;Urne;1767014;1049827;15597;1034230;291163;135835;170408;39110;;79557;250217;4990;14246;16647;;4780;15676;;;;1482;;;;;;;3661;;;3931;;;;;;;2527;;;;;;;;;
16;Thüringen;Z;Brief;;262225;2007;260218;81095;35197;47804;14230;;21572;43852;1067;1837;4484;;1618;3456;;;;420;;;;;;;1646;;;1017;;;;;;;923;;;;;;;;;
7;Rheinland-Pfalz;E;Zusammen;3080591;2392093;40223;2351870;932382;676438;133323;140906;;161479;223659;3830;1495;54294;;7107;10970;;;;581;;;;;;;;;;;;;;;;;;;371;;;;;542;;4493
7;Rheinland-Pfalz;E;Urne;3080591;1560548;29499;1531049;575597;453819;94829;89968;;102008;162500;2654;1086;33525;;4437;7149;;;;409;;;;;;;;;;;;;;;;;;;251;;;;;303;;2514
7;Rheinland-Pfalz;E;Brief;;831545;10724;820821;356785;222619;38494;50938;;59471;61159;1176;409;20769;;2670;3821;;;;172;;;;;;;;;;;;;;;;;;;120;;;;;239;;1979
7;Rheinland-Pfalz;Z;Zusammen;3080591;2392093;29587;2362506;848003;570518;160912;179233;;245235;265688;10792;7025;32263;;7330;23957;;;;842;;;;;;;4505;;;;;;;;;;6203;;;;;;;;;
7;Rheinland-Pfalz;Z;Urne;3080591;1560548;23000;1537548;517954;380032;114288;118418;;155146;191867;7698;5037;19321;;4564;16506;;;;592;;;;;;;2455;;;;;;;;;;3670;;;;;;;;;
7;Rheinland-Pfalz;Z;Brief;;831545;6587;824958;330049;190486;46624;60815;;90089;73821;3094;1988;12942;;2766;7451;;;;250;;;;;;;2050;;;;;;;;;;2533;;;;;;;;;
9;Bayern;E;Zusammen;9522371;7441006;69317;7371689;;1336404;384368;661356;3255487;477884;773542;10421;583;250119;;119103;13205;62622;;;2309;2130;;;;;;;;;;;;;;;;;358;;670;;;;;2458;18670
9;Bayern;E;Urne;9522371;4667689;49629;4618060;;861657;262167;405782;2000591;281383;524745;7051;435;145598;;70565;7750;35825;;;1636;1382;;;;;;;;;;;;;;;;;207;;300;;;;;1082;9904
